first_node_id,second_node_id,first_frame_id,second_frame_id,frame_gap,position_distance
3,174,90,5220,5130,0.21492728082633514
89,102,2670,3060,390,0.21526511272523838
17,161,510,4830,4320,0.21535794380102355
136,292,4080,8760,4680,0.21557904818246948
182,317,5460,9510,4050,0.21594164318085882
19,313,570,9390,8820,0.21629011119334804
7,323,210,9690,9480,0.21663695159899263
274,291,8220,8730,510,0.21720105704501685
185,315,5550,9450,3900,0.21766152873481137
7,325,210,9744,9534,0.2183173008618108
8,169,240,5070,4830,0.21833255613076388
8,321,240,9630,9390,0.21836181601959787
17,186,510,5580,5070,0.21847243189755863
3,176,90,5280,5190,0.21876630522368606
160,314,4800,9420,4620,0.21886168935060904
160,187,4800,5610,810,0.21902295591955223
147,301,4410,9030,4620,0.2200658835349783
6,177,180,5310,5130,0.22064204410742774
87,261,2610,7830,5220,0.22087041253920603
159,312,4770,9360,4590,0.22167946272797492
84,243,2520,7290,4770,0.22186714194929086
276,290,8280,8700,420,0.221896843098781
83,242,2490,7260,4770,0.22197268857615476
220,242,6600,7260,660,0.2220944216418976
115,271,3450,8130,4680,0.2236780399587237
9,168,270,5040,4770,0.22385144176679453
148,309,4440,9270,4830,0.22457706390662524
7,324,210,9720,9510,0.22548938635013438
158,311,4740,9330,4590,0.22554890650167114
117,293,3510,8790,5280,0.22633051095308684
101,257,3030,7710,4680,0.22659499477080225
88,260,2640,7800,5160,0.2269514075133288
5,174,150,5220,5070,0.22696059694379536
4,174,120,5220,5100,0.22703910862185384
183,316,5490,9480,3990,0.22708610477045615
26,193,780,5790,5010,0.22724640831148632
0,170,0,5100,5100,0.22760657815452195
149,308,4470,9240,4770,0.22872656062610047
86,244,2580,7320,4740,0.22886999720998788
147,302,4410,9060,4650,0.22887889105344383
300,310,9000,9300,300,0.22919103261501458
101,249,3030,7470,4440,0.22945519052201155
219,242,6570,7260,690,0.22992160794906694
3,325,90,9744,9654,0.23023973936619557
51,84,1530,2520,990,0.23089232465571796
126,284,3780,8520,4740,0.23120119829412733
24,191,720,5730,5010,0.231283028267609
137,273,4110,8190,4080,0.23131271353515243
119,291,3570,8730,5160,0.2313197152753848
152,306,4560,9180,4620,0.23162632993620694
6,176,180,5280,5100,0.2318598816577689
5,175,150,5250,5100,0.232033232003837
